dataset,trial,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Haaglanden,16,32,2,32,0.4,0.001,64,1.4901707172393799,0.34140625,0.3096957509545727,0.34578567396315607,0.2716704285451675,4,Random Search
Haaglanden,17,128,5,96,0.2,0.0001,64,1.617619514465332,0.23359375,0.18284555632783311,0.23797364346002475,0.16674367108468616,3,Random Search
Haaglanden,18,128,3,128,0.4,0.001,16,1.2179360389709473,0.478125,0.46819236407878684,0.47896029777917565,0.44738327432923375,4,Random Search
Haaglanden,19,128,3,32,0.4,0.005,64,1.3437080383300781,0.4375,0.39904961934238614,0.4346830579615819,0.37518857955310597,4,Random Search
Haaglanden,20,128,3,128,0.1,0.001,64,1.6916754245758057,0.20859375,0.32139650872817954,0.20693185448174778,0.09082337545866949,3,Random Search
Haaglanden,21,128,3,128,0.4,0.005,48,1.3994009494781494,0.39453125,0.39872227543835087,0.39061594094228713,0.35651532429439403,4,Random Search
Haaglanden,22,32,4,128,0.5,0.01,32,1.5621025562286377,0.27265625,0.24951657453281065,0.28232738611049146,0.2465715726381914,3,Random Search
Haaglanden,23,16,2,32,0.4,0.01,32,1.36716628074646,0.4484375,0.4174746843532288,0.4474403232869405,0.41361196898525854,4,Random Search
Haaglanden,24,16,2,64,0.1,0.001,64,1.4494881629943848,0.33125,0.35207580926465043,0.34685468322596474,0.2919226470492189,4,Random Search
Haaglanden,25,32,2,128,0.1,0.001,64,1.4266473054885864,0.41484375,0.4032098837190244,0.4240308484352667,0.36469078092022394,4,Random Search
Haaglanden,26,128,2,128,0.4,0.0005,64,1.652596116065979,0.20859375,0.22543398360192252,0.20816927544554004,0.09675134407399752,3,Random Search
Haaglanden,27,64,2,64,0.5,0.0001,48,1.619641900062561,0.20234375,0.14707708497763744,0.20142011724288617,0.07146718362332369,3,Random Search
Haaglanden,28,64,5,32,0.1,0.01,16,1.3221776485443115,0.41171875,0.30492895294649014,0.41322286711391765,0.33681574824433,4,Random Search
Haaglanden,29,96,2,64,0.5,0.0001,16,1.532515525817871,0.35078125,0.288175622437105,0.3484161758631446,0.2853873633220736,4,Random Search
Haaglanden,30,96,4,128,0.5,0.01,64,1.354934811592102,0.38203125,0.44096816252932153,0.3884257175822382,0.393872010998184,4,Random Search
Haaglanden,31,96,4,96,0.4,0.0001,48,1.5399863719940186,0.3140625,0.26623751692213926,0.31652611818546295,0.260190671462471,4,Random Search
Haaglanden,32,32,2,96,0.3,0.0001,16,1.4297350645065308,0.3703125,0.2895240805154287,0.3721875677969565,0.28453563881256355,4,Random Search
