dataset,trial,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,23,16,5,96,0.5,0.0005,16,1.0486865043640137,0.53984375,0.4653896966065153,0.5200885778936283,0.454092402093168,4,Random Search
Sleep-EDF,24,16,2,96,0.2,0.0005,64,1.3484022617340088,0.44296875,0.4097198737305104,0.42058971930477834,0.35954752984145466,4,Random Search
Sleep-EDF,25,128,5,32,0.1,0.0005,32,0.9080042839050293,0.61171875,0.6261220641253615,0.5994314586111321,0.5922771962235792,4,Random Search
Sleep-EDF,26,96,5,64,0.3,0.0005,48,1.0833876132965088,0.53125,0.5291440111905403,0.5149240119827251,0.48608324063037867,4,Random Search
Sleep-EDF,27,96,5,128,0.1,0.005,32,1.168491005897522,0.4953125,0.4921758440552003,0.4941937870939855,0.45458483781741216,4,Random Search
Sleep-EDF,28,32,4,64,0.3,0.001,48,1.1306178569793701,0.51953125,0.5153484032254197,0.4985689952705227,0.47406575164911613,4,Random Search
Sleep-EDF,29,32,3,96,0.5,0.001,16,0.96174556016922,0.58984375,0.5940275087084013,0.5833231760237159,0.5814414140616733,4,Random Search
Sleep-EDF,30,64,3,96,0.2,0.0005,16,0.8530431985855103,0.63515625,0.6086482953011569,0.6189048852108845,0.5999859270033572,4,Random Search
Sleep-EDF,31,96,4,96,0.4,0.0001,64,1.453495979309082,0.41015625,0.37752198730379155,0.3882928622836094,0.2930944314023208,4,Random Search
Sleep-EDF,32,16,3,128,0.3,0.0001,16,1.1862380504608154,0.46484375,0.3484614773268632,0.4428207622956405,0.34752324286327274,4,Random Search
Sleep-EDF,33,64,4,32,0.3,0.01,16,1.1709223985671997,0.50390625,0.5040149446156313,0.4959111664338611,0.4782439826050604,4,Random Search
Sleep-EDF,34,128,3,96,0.4,0.0001,48,1.3606410026550293,0.4265625,0.42713218565475974,0.40570143084447563,0.33567239917772695,4,Random Search
Sleep-EDF,35,128,3,96,0.3,0.001,16,0.9290999174118042,0.5703125,0.5671986929726303,0.559798739169796,0.542232722238997,4,Random Search
