dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,basin_id,phase,method
Haaglanden,64,4,128,0.2,0.0005,32,1.163103699684143,0.5,0.4855867850101211,0.49777016396697576,0.4839649667591412,4,2,hc_step,Basin Hopping
Haaglanden,64,5,128,0.2,0.0005,16,1.1010547876358032,0.55,0.521128221608383,0.5405815665223221,0.5107505283315822,4,2,hc_step,Basin Hopping
Haaglanden,64,4,128,0.2,0.001,16,1.1566301584243774,0.49609375,0.45925187081634994,0.4931850832704353,0.4523268208968495,4,2,hc_step,Basin Hopping
Haaglanden,96,4,128,0.2,0.0005,16,1.1050772666931152,0.540625,0.5299929811490918,0.5387113807849342,0.5156103337403949,4,2,hc_step,Basin Hopping
Haaglanden,64,4,128,0.3,0.0005,16,1.2354625463485718,0.4671875,0.4169269320591016,0.46049533888996674,0.4031945989634888,4,2,hc_step,Basin Hopping
Haaglanden,64,3,128,0.2,0.0005,16,1.1666595935821533,0.496875,0.46010258189511594,0.4948414323699876,0.46186728584392317,4,2,hc_step,Basin Hopping
Haaglanden,64,4,128,0.2,0.0001,16,1.1973106861114502,0.48671875,0.4387892915853412,0.48511259111861593,0.43653153979835296,4,2,hc_step,Basin Hopping
Haaglanden,64,4,128,0.1,0.0005,16,1.1031790971755981,0.53515625,0.4935184408375373,0.528808788346883,0.4979281147966891,4,3,hc_start,Basin Hopping
Haaglanden,64,5,128,0.1,0.0005,16,1.127812147140503,0.51953125,0.5277179791116464,0.517021513435471,0.5004037066501706,4,3,hc_step,Basin Hopping
Haaglanden,64,4,128,0.1,0.001,16,1.133933663368225,0.509375,0.4923882911557187,0.503246170914051,0.4818230622782334,4,3,hc_step,Basin Hopping
Haaglanden,64,4,128,0.1,0.0001,16,1.1297414302825928,0.50546875,0.47265514754424176,0.5045904099512735,0.4673540866865943,4,3,hc_step,Basin Hopping
Haaglanden,64,4,96,0.1,0.0005,16,1.1512067317962646,0.50078125,0.46506420030537854,0.500543933809906,0.46974544881613606,4,3,hc_step,Basin Hopping
Haaglanden,64,4,128,0.1,0.0005,32,1.1677261590957642,0.50625,0.46426140317815295,0.49972480307236183,0.45391413538017433,4,3,hc_step,Basin Hopping
Haaglanden,96,4,128,0.1,0.0005,16,1.067418098449707,0.53828125,0.5161857225047719,0.531858537157897,0.5117514295302958,4,3,hc_step,Basin Hopping
