dataset,generation,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Sleep-EDF,3,96,5,128,0.2,0.001,48,0.862335205078125,0.63515625,0.6027149885404425,0.6192992297154444,0.6049081810318243,4,GA
Sleep-EDF,3,32,5,32,0.1,0.0005,16,0.9494394063949585,0.60390625,0.612537631649633,0.5935246365375859,0.6008820152305536,4,GA
Sleep-EDF,3,96,5,64,0.1,0.001,64,1.1718674898147583,0.51171875,0.5082056463535829,0.4993076696290095,0.4654798529445701,4,GA
Sleep-EDF,3,96,5,64,0.3,0.001,16,0.9178163409233093,0.61796875,0.6072343135022381,0.6037659609299012,0.5771731102208651,4,GA
Sleep-EDF,4,128,5,128,0.2,0.0005,16,0.8816372156143188,0.63125,0.6233620861091849,0.6158532145347377,0.6037872577752637,4,GA
Sleep-EDF,4,96,5,128,0.2,0.001,48,1.0187896490097046,0.58359375,0.5525030294793138,0.5639230282968373,0.5386858208485471,4,GA
Sleep-EDF,4,128,2,128,0.2,0.0005,16,0.8769863247871399,0.5984375,0.6029251949074135,0.591834206234596,0.5905331478455922,4,GA
Sleep-EDF,4,96,5,128,0.2,0.001,48,0.9334728121757507,0.61953125,0.6325907841403791,0.6139728931322914,0.6196221498153491,4,GA
Sleep-EDF,4,16,5,128,0.1,0.0005,16,0.9370753169059753,0.59609375,0.5918727816449489,0.5868196679338632,0.5890126735219775,4,GA
Sleep-EDF,4,128,5,128,0.2,0.01,48,1.059672474861145,0.55390625,0.5566911036596691,0.5458660302071853,0.5316699327728382,4,GA
Sleep-EDF,4,128,5,64,0.1,0.005,64,0.9844597578048706,0.5796875,0.5676536550283757,0.5688685156378258,0.5528445687006084,4,GA
Sleep-EDF,4,96,5,32,0.1,0.005,16,1.1317576169967651,0.50390625,0.47830446463902715,0.4822437892910839,0.4435526294448648,4,GA
Sleep-EDF,4,128,5,64,0.2,0.0005,16,0.8527511358261108,0.6453125,0.6507033445419323,0.6348827987176058,0.6351805345181885,4,GA
Sleep-EDF,4,96,4,64,0.5,0.0005,16,0.9368629455566406,0.5875,0.5602620820438535,0.5743113689625384,0.5599961235148703,4,GA
Sleep-EDF,5,128,5,64,0.2,0.0005,16,0.8363407254219055,0.65,0.643455301134058,0.6356724094504349,0.6318122540946626,4,GA
Sleep-EDF,5,64,5,128,0.5,0.0005,16,0.942888081073761,0.5875,0.5889012542681334,0.5780859083141546,0.574546132280398,4,GA
Sleep-EDF,5,128,2,64,0.2,0.0005,16,0.9603496789932251,0.5875,0.5710458220225073,0.5737102132981002,0.5647601520415915,4,GA
Sleep-EDF,5,128,5,128,0.2,0.0005,16,0.8186148405075073,0.66171875,0.6615304809079499,0.6494687376047126,0.6447289905811188,4,GA
