dataset,generation,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,method
Haaglanden,4,16,4,96,0.5,0.005,16,1.5712040662765503,0.2515625,0.3835738396624473,0.2407394943581714,0.13965086483023703,3,GA
Haaglanden,4,128,4,64,0.2,0.005,32,1.2584285736083984,0.46484375,0.38229502025633844,0.463511345985301,0.38148937754010037,4,GA
Haaglanden,4,128,5,64,0.2,0.005,32,1.244143009185791,0.4859375,0.46115040960236015,0.48545984723090274,0.445771532467786,4,GA
Haaglanden,4,16,3,96,0.2,0.0001,16,1.3625353574752808,0.4046875,0.3864550141377607,0.40945650773691444,0.3319689573414929,4,GA
Haaglanden,4,64,2,64,0.2,0.005,32,1.2609819173812866,0.46171875,0.44917078471573274,0.45851596167524367,0.4390388694965095,4,GA
Haaglanden,4,128,5,64,0.5,0.005,32,1.2679187059402466,0.490625,0.45227431682103986,0.4877651516926024,0.4045614457306,4,GA
Haaglanden,4,16,4,32,0.2,0.005,32,1.3321685791015625,0.44140625,0.41702276090247076,0.44434284775191013,0.37769631451438873,4,GA
Haaglanden,5,128,5,64,0.2,0.005,32,1.336214303970337,0.41484375,0.4329252378540289,0.40944813862976287,0.4019925034401476,4,GA
Haaglanden,5,128,5,64,0.2,0.005,32,1.4224952459335327,0.37265625,0.4039373093870056,0.37443324818120854,0.3499548561345297,4,GA
Haaglanden,5,128,5,64,0.2,0.005,32,1.267653226852417,0.40390625,0.49248352175497345,0.4082217818241416,0.3650518513069573,4,GA
Haaglanden,5,96,2,64,0.4,0.005,64,2.349231243133545,0.2015625,0.2401876465989054,0.2009009009009009,0.06872080530642752,3,GA
Haaglanden,5,128,4,64,0.5,0.005,32,1.3906500339508057,0.375,0.37294082467596695,0.37742306437047246,0.34528242112572444,4,GA
Haaglanden,5,16,3,64,0.3,0.005,32,1.3972643613815308,0.36875,0.3903911881486256,0.366412175413054,0.34050198469049764,4,GA
Haaglanden,5,64,4,64,0.2,0.005,32,1.251079797744751,0.45390625,0.4376431584061343,0.4514688521654757,0.4164212176274485,4,GA
Haaglanden,5,128,5,64,0.2,0.0005,32,1.1400809288024902,0.525,0.48018591639686037,0.5193240711528649,0.47365361007164,4,GA
Haaglanden,5,128,4,64,0.2,0.0005,32,1.0924291610717773,0.5359375,0.5015007308009896,0.5297635640625474,0.5062442618147638,4,GA
